Threads, Array Size, Test, Time
2, 20000, testFarmHeavyWorkerSmallNumberOfWorkers,    6.115
2, 20000, testFarmHeavyWorkerMediumNumberOfWorkers,    6.113
2, 20000, testFarmHeavyWorkerLargeNumberOfWorkers,    6.072
4, 20000, testFarmHeavyWorkerSmallNumberOfWorkers,    2.062
4, 20000, testFarmHeavyWorkerMediumNumberOfWorkers,    2.038
4, 20000, testFarmHeavyWorkerLargeNumberOfWorkers,    2.039
8, 20000, testFarmHeavyWorkerSmallNumberOfWorkers,    0.917
8, 20000, testFarmHeavyWorkerMediumNumberOfWorkers,    0.875
8, 20000, testFarmHeavyWorkerLargeNumberOfWorkers,    0.874
16, 20000, testFarmHeavyWorkerSmallNumberOfWorkers,    0.906
16, 20000, testFarmHeavyWorkerMediumNumberOfWorkers,    0.435
16, 20000, testFarmHeavyWorkerLargeNumberOfWorkers,    0.435
32, 20000, testFarmHeavyWorkerSmallNumberOfWorkers,    1.034
32, 20000, testFarmHeavyWorkerMediumNumberOfWorkers,    0.270
32, 20000, testFarmHeavyWorkerLargeNumberOfWorkers,    0.247
64, 20000, testFarmHeavyWorkerSmallNumberOfWorkers,    2.992
64, 20000, testFarmHeavyWorkerMediumNumberOfWorkers,    3.597
64, 20000, testFarmHeavyWorkerLargeNumberOfWorkers,    1.918
128, 20000, testFarmHeavyWorkerSmallNumberOfWorkers,    1.485
128, 20000, testFarmHeavyWorkerMediumNumberOfWorkers,    0.322
128, 20000, testFarmHeavyWorkerLargeNumberOfWorkers,    0.171
