Threads, Array Size, Test, Time
1, 50000, testPipelineLightWorkersSmallNumberOfStations,    0.035
1, 50000, testPipelineLightWorkersMediumNumberOfStations,    0.329
1, 50000, testPipelineLightWorkersLargeNumberOfStations,    3.140
2, 50000, testPipelineLightWorkersSmallNumberOfStations,    0.108
2, 50000, testPipelineLightWorkersMediumNumberOfStations,    0.260
2, 50000, testPipelineLightWorkersLargeNumberOfStations,    1.718
4, 50000, testPipelineLightWorkersSmallNumberOfStations,    0.158
4, 50000, testPipelineLightWorkersMediumNumberOfStations,    0.275
4, 50000, testPipelineLightWorkersLargeNumberOfStations,    1.007
8, 50000, testPipelineLightWorkersSmallNumberOfStations,    0.269
8, 50000, testPipelineLightWorkersMediumNumberOfStations,    0.353
8, 50000, testPipelineLightWorkersLargeNumberOfStations,    0.691
16, 50000, testPipelineLightWorkersSmallNumberOfStations,    0.484
16, 50000, testPipelineLightWorkersMediumNumberOfStations,    0.544
16, 50000, testPipelineLightWorkersLargeNumberOfStations,    0.784
32, 50000, testPipelineLightWorkersSmallNumberOfStations,    0.907
32, 50000, testPipelineLightWorkersMediumNumberOfStations,    0.928
32, 50000, testPipelineLightWorkersLargeNumberOfStations,    1.151
64, 50000, testPipelineLightWorkersSmallNumberOfStations,    1.682
64, 50000, testPipelineLightWorkersMediumNumberOfStations,    1.630
64, 50000, testPipelineLightWorkersLargeNumberOfStations,    3.102
128, 50000, testPipelineLightWorkersSmallNumberOfStations,   50.257
128, 50000, testPipelineLightWorkersMediumNumberOfStations,   51.334
128, 50000, testPipelineLightWorkersLargeNumberOfStations,   53.488
