Threads, Array Size, Test, Time
1, 200000, testPipelineLightWorkersSmallNumberOfStations,    0.143
1, 200000, testPipelineLightWorkersMediumNumberOfStations,    0.595
1, 200000, testPipelineLightWorkersLargeNumberOfStations,    4.759
Test Time:	  16.489 seconds
2, 200000, testPipelineLightWorkersSmallNumberOfStations,    0.269
2, 200000, testPipelineLightWorkersMediumNumberOfStations,    0.516
2, 200000, testPipelineLightWorkersLargeNumberOfStations,    2.642
Test Time:	  10.282 seconds
4, 200000, testPipelineLightWorkersSmallNumberOfStations,    0.361
4, 200000, testPipelineLightWorkersMediumNumberOfStations,    0.491
4, 200000, testPipelineLightWorkersLargeNumberOfStations,    1.764
Test Time:	   7.849 seconds
8, 200000, testPipelineLightWorkersSmallNumberOfStations,    6.983
8, 200000, testPipelineLightWorkersMediumNumberOfStations,    7.036
8, 200000, testPipelineLightWorkersLargeNumberOfStations,    9.474
Test Time:	  70.480 seconds
16, 200000, testPipelineLightWorkersSmallNumberOfStations,   25.826
16, 200000, testPipelineLightWorkersMediumNumberOfStations,   25.832
16, 200000, testPipelineLightWorkersLargeNumberOfStations,   26.268
Test Time:	 233.779 seconds
