Threads, Array Size, Test, Time
16, 524288, testScanHeavyWorker,    2.831
Test Time:	   8.493 seconds
16, 524289, testScanHeavyWorker,    5.090
Test Time:	  15.271 seconds
16, 750000, testScanHeavyWorker,    5.387
Test Time:	  16.160 seconds
16, 1048576, testScanHeavyWorker,    5.809
Test Time:	  17.427 seconds
16, 1048577, testScanHeavyWorker,    9.512
Test Time:	  28.536 seconds
16, 1500000, testScanHeavyWorker,   10.135
Test Time:	  30.405 seconds
16, 2097152, testScanHeavyWorker,   12.693
Test Time:	  38.080 seconds
16, 2097153, testScanHeavyWorker,   21.584
Test Time:	  64.752 seconds
16, 3000000, testScanHeavyWorker,   20.149
Test Time:	  60.448 seconds
16, 4194304, testScanHeavyWorker,   27.910
Test Time:	  83.729 seconds
